Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
Club campestre los palmares,Atracción turística,"Cra. 12 #173, Ibagué, Calubaima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Casa al revés,Atracción turística,"CR99+QP, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Parque Temático Meraki,Agencia de visitas turísticas,"Vda. Bellavista, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Cerrado ⋅ Abre a las 10 a.m. del jue
Iguaima espinal tolima,Atracción turística,"Iguaima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
finca veraguas 2 y vellevista,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
La Vega de july,Atracción turística,"CJ9G+W3, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Finca Las Palmas,Atracción turística,"8QFV+GW, Ibagué, Los Cauchos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Verdad llanitos,Atracción turística,"Vía al Nevado del Tolima, Llanitos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Pastales tolima,Atracción turística,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
La Mambuquera,Atracción turística,"Vía al Nevado del Tolima, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
ibagué letras,Atracción turística,"Cra 3 #9, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
Monte de paramillo,Atracción turística,"Cra 3 #9, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
Parque ecoturistico el gran pijao,Parque temático,"Vereda la troja, Rovira, Tolima",4.2581294,-75.5712803,4.7,602,
Finca Las Nubes,Parque temático,"Vereda la troja, Rovira, Tolima",4.2581294,-75.5712803,4.7,602,
CUATRIMOTOS IBAGUE (CUATRI TOURS),Centro de deportes de aventura,"730017, Ibagué, Tolima",4.2581294,-75.5712803,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue
Tienda Mirador Donde Huevo,Centro de deportes de aventura,"730017, Ibagué, Tolima",4.2581294,-75.5712803,4.7,602,Cerrado ⋅ Abre a las 8 a.m. del jue
